Customer_ID,Customer_Name,Gender,Age,City,State,Occupation,Annual_Income,Credit_Limit,Card_Type,Join_Date
C100041,Sneha Kapoor,Male,63,Mumbai,Maharashtra,Banker,1468545,89099,Silver,2023-02-17
C100042,Vivaan Reddy,Female,22,Bengaluru,Karnataka,Banker,1395615,803405,Platinum,2022-12-23
C100043,Arjun Das,Female,67,Lucknow,Uttar Pradesh,Teacher,2842624,147033,Silver,2021-04-18
C100044,Meera Reddy,Female,23,Kochi,Kerala,Business,2480703,105825,Silver,2024-01-31
C100045,Meera Rao,Female,63,Indore,Madhya Pradesh,Banker,1559642,146469,Silver,2023-06-20
C100046,Arjun Iyer,Female,56,Chennai,Tamil Nadu,IT,1890250,102810,Silver,2023-05-17
C100047,Pooja Singh,Female,39,Mumbai,Maharashtra,Teacher,2732632,122237,Silver,2025-03-19
C100048,Aditya Gupta,Female,68,Chennai,Tamil Nadu,Student,1490286,347561,Gold,2023-10-04
C100049,Pooja Verma,Male,33,Chennai,Tamil Nadu,Teacher,1326944,142277,Silver,2020-10-25
C100050,Rahul Patel,Female,52,Kolkata,West Bengal,Consultant,323256,93970,Silver,2024-10-07
C100051,Pooja Kapoor,Male,56,Mumbai,Maharashtra,Business,809014,839829,Platinum,2021-06-30
C100052,Diya Joshi,Female,60,Indore,Madhya Pradesh,Consultant,2417193,335933,Gold,2024-12-31
C100053,Vikram Kapoor,Female,37,Lucknow,Uttar Pradesh,Teacher,2974545,116347,Silver,2025-11-05
C100054,Rohan Iyer,Female,49,Bengaluru,Karnataka,Engineer,1283537,315614,Gold,2023-10-07
C100055,Meera Verma,Male,30,Mumbai,Maharashtra,Business,940911,108043,Silver,2020-09-20
C100056,Aisha Verma,Female,47,Hyderabad,Telangana,Consultant,2062209,131049,Silver,2020-03-21
C100057,Rahul Nair,Male,43,Pune,Maharashtra,Banker,2057502,308906,Gold,2025-06-22
C100058,Ananya Das,Female,22,Kolkata,West Bengal,IT,1995827,101632,Silver,2025-03-29
C100059,Pooja Patel,Female,58,Visakhapatnam,Andhra Pradesh,IT,652101,336179,Gold,2021-07-09
C100060,Kiran Verma,Female,45,Delhi,Delhi,Student,1670890,124236,Silver,2024-04-01
C100061,Aditya Kapoor,Male,51,Hyderabad,Telangana,IT,518462,325870,Gold,2022-07-07
C100062,Ananya Singh,Male,36,Mumbai,Maharashtra,Engineer,2906070,299973,Gold,2022-09-04
C100063,Diya Nair,Male,50,Kochi,Kerala,Engineer,1847258,101992,Silver,2021-04-14
C100064,Aditya Das,Male,40,Visakhapatnam,Andhra Pradesh,Teacher,1874151,331990,Gold,2022-03-23
C100065,Sneha Iyer,Male,65,Lucknow,Uttar Pradesh,Banker,2818308,95866,Silver,2020-06-17
C100066,Sai Verma,Female,25,Jaipur,Rajasthan,Business,353066,335057,Gold,2025-06-30
C100067,Pooja Verma,Female,66,Chennai,Tamil Nadu,Student,2488364,115400,Silver,2025-06-03
C100068,Pooja Das,Female,36,Indore,Madhya Pradesh,Banker,1469909,839087,Platinum,2022-09-25
C100069,Sneha Nair,Female,22,Ahmedabad,Gujarat,Business,1062691,843904,Platinum,2022-05-18
C100070,Priya Reddy,Female,59,Kochi,Kerala,Teacher,2631156,781330,Platinum,2025-10-17
C100071,Aarav Reddy,Female,52,Jaipur,Rajasthan,Student,2296879,344332,Gold,2025-01-09
C100072,Sanjay Iyer,Male,46,Kochi,Kerala,Business,2739220,128368,Silver,2025-04-22
C100073,Kiran Gupta,Female,68,Jaipur,Rajasthan,Engineer,2203145,115509,Silver,2023-06-09
C100074,Vikram Nair,Male,41,Bengaluru,Karnataka,Student,1076574,305105,Gold,2022-06-05
C100075,Sanjay Patel,Male,33,Pune,Maharashtra,Student,1052632,119618,Silver,2020-02-27
C100076,Aarav Das,Male,24,Jaipur,Rajasthan,Student,829654,144340,Silver,2021-02-24
C100077,Sai Reddy,Female,51,Ahmedabad,Gujarat,Banker,515489,113092,Silver,2025-05-10
C100078,Aisha Nair,Female,25,Visakhapatnam,Andhra Pradesh,Engineer,524852,299887,Gold,2021-09-03
C100079,Arjun Singh,Male,28,Jaipur,Rajasthan,Consultant,2843080,309581,Gold,2025-11-10
C100080,Priya Kapoor,Female,58,Kolkata,West Bengal,Teacher,2904777,87894,Silver,2021-02-10
C100081,Aarav Verma,Female,63,Bengaluru,Karnataka,Consultant,1029026,89838,Silver,2021-10-03
C100082,Rahul Nair,Female,39,Hyderabad,Telangana,Teacher,1485806,139510,Silver,2020-10-18
C100083,Aditya Sharma,Female,28,Jaipur,Rajasthan,Doctor,924906,114816,Silver,2021-08-05
C100084,Pooja Joshi,Female,59,Kochi,Kerala,Student,1510520,337560,Gold,2021-05-24
C100085,Meera Joshi,Female,38,Jaipur,Rajasthan,Business,2136093,290543,Gold,2020-06-12
C100086,Aisha Sharma,Female,22,Bengaluru,Karnataka,Doctor,2712559,82719,Silver,2023-01-08
C100087,Vikram Reddy,Female,54,Vijayawada,Andhra Pradesh,Consultant,1466673,103788,Silver,2024-11-20
C100088,Meera Joshi,Female,47,Delhi,Delhi,Consultant,738723,101079,Silver,2023-09-12
C100089,Aditya Rao,Female,63,Kolkata,West Bengal,Student,2607272,284809,Gold,2025-02-05
C100090,Meera Sharma,Female,28,Lucknow,Uttar Pradesh,Teacher,2458373,80150,Silver,2025-03-07
C100091,Kiran Iyer,Female,60,Lucknow,Uttar Pradesh,Doctor,2154054,86764,Silver,2022-04-13
C100092,Diya Nair,Female,49,Chandigarh,Chandigarh,IT,809297,283783,Gold,2022-09-07
C100093,Ananya Singh,Female,26,Mumbai,Maharashtra,Student,775890,840482,Platinum,2021-04-26
C100094,Sanjay Patel,Female,47,Indore,Madhya Pradesh,Banker,2280633,111946,Silver,2025-02-13
C100095,Meera Rao,Male,59,Jaipur,Rajasthan,Student,872557,289150,Gold,2023-02-05
C100096,Pooja Iyer,Male,39,Kochi,Kerala,Consultant,2761795,144178,Silver,2021-08-31
C100097,Priya Joshi,Female,42,Jaipur,Rajasthan,Teacher,1882133,339682,Gold,2023-08-11
C100098,Arjun Verma,Female,35,Indore,Madhya Pradesh,Doctor,483070,321704,Gold,2025-04-21
C100099,Pooja Reddy,Female,23,Chennai,Tamil Nadu,Consultant,2775396,323515,Gold,2021-02-15
C100100,Kiran Rao,Male,67,Chennai,Tamil Nadu,Banker,947437,89807,Silver,2025-04-07
C100101,Vikram Iyer,Male,42,Indore,Madhya Pradesh,IT,2538174,329808,Gold,2023-07-21
C100102,Meera Reddy,Male,36,Vijayawada,Andhra Pradesh,Engineer,1505354,309817,Gold,2021-01-05
C100103,Vivaan Nair,Female,31,Kochi,Kerala,Business,421413,86028,Silver,2023-08-21
C100104,Diya Reddy,Female,48,Chennai,Tamil Nadu,Banker,2028270,103600,Silver,2021-11-27
C100105,Pooja Nair,Male,52,Chandigarh,Chandigarh,IT,1273868,340443,Gold,2022-11-06
C100106,Aisha Nair,Female,39,Vijayawada,Andhra Pradesh,Banker,609799,337898,Gold,2023-11-16
C100107,Rahul Verma,Female,50,Indore,Madhya Pradesh,Business,1913520,143335,Silver,2021-03-12
C100108,Aisha Kapoor,Female,65,Pune,Maharashtra,IT,1960129,115976,Silver,2020-02-03
C100109,Priya Das,Female,39,Lucknow,Uttar Pradesh,Student,2846215,326179,Gold,2022-06-16
C100110,Vivaan Das,Male,61,Bengaluru,Karnataka,Business,465350,820492,Platinum,2024-12-10
C100111,Ananya Iyer,Male,26,Chandigarh,Chandigarh,Business,2042746,103021,Silver,2022-04-02
C100112,Sai Singh,Female,31,Pune,Maharashtra,Engineer,2321016,818684,Platinum,2023-10-19
C100113,Arjun Sharma,Male,69,Mumbai,Maharashtra,Student,1966864,827942,Platinum,2021-01-04
C100114,Sai Kapoor,Male,50,Delhi,Delhi,Teacher,1399584,329941,Gold,2024-03-01
C100115,Aditya Kapoor,Female,22,Visakhapatnam,Andhra Pradesh,Consultant,2654713,822992,Platinum,2022-06-25
C100116,Vikram Reddy,Female,62,Kolkata,West Bengal,Engineer,490198,84877,Silver,2023-05-31
C100117,Meera Kapoor,Male,55,Chennai,Tamil Nadu,Engineer,1856135,134935,Silver,2021-09-24
C100118,Priya Singh,Female,60,Kolkata,West Bengal,Consultant,1473315,784288,Platinum,2024-02-26
C100119,Arjun Nair,Male,44,Bengaluru,Karnataka,Teacher,1840714,827012,Platinum,2020-09-05
C100120,Rohan Gupta,Male,50,Bengaluru,Karnataka,Doctor,2991503,282799,Gold,2020-07-26
C100121,Rohan Patel,Male,25,Indore,Madhya Pradesh,IT,1168880,308305,Gold,2022-08-12
C100122,Ananya Sharma,Female,30,Chennai,Tamil Nadu,Business,1031893,294408,Gold,2020-04-15
C100123,Meera Iyer,Male,58,Delhi,Delhi,Engineer,1413032,86868,Silver,2021-06-03
C100124,Nisha Gupta,Male,51,Ahmedabad,Gujarat,IT,2452676,294293,Gold,2025-01-25
C100125,Meera Kapoor,Female,50,Vijayawada,Andhra Pradesh,Engineer,555120,842781,Platinum,2024-07-03
C100126,Aditya Patel,Female,66,Chandigarh,Chandigarh,Student,638859,122219,Silver,2021-08-30
C100127,Sai Joshi,Female,45,Visakhapatnam,Andhra Pradesh,Engineer,2203020,346263,Gold,2024-10-28
C100128,Arjun Verma,Male,48,Ahmedabad,Gujarat,Engineer,2035659,824424,Platinum,2025-01-31
C100129,Aditya Reddy,Female,48,Delhi,Delhi,Engineer,1869932,300006,Gold,2025-04-26
C100130,Aisha Iyer,Male,48,Bengaluru,Karnataka,Business,1862994,297054,Gold,2020-09-02
C100131,Ishaan Nair,Male,47,Delhi,Delhi,Business,2073925,786743,Platinum,2023-03-24
C100132,Sneha Iyer,Male,57,Jaipur,Rajasthan,Business,2322448,109392,Silver,2021-03-19
C100133,Aarav Patel,Male,69,Pune,Maharashtra,Student,2099827,283441,Gold,2022-12-31
C100134,Ananya Joshi,Female,42,Delhi,Delhi,IT,900840,132531,Silver,2020-10-12
C100135,Diya Rao,Male,68,Jaipur,Rajasthan,Student,2060905,139460,Silver,2023-10-28
C100136,Ishaan Sharma,Female,70,Visakhapatnam,Andhra Pradesh,Engineer,520657,300392,Gold,2021-10-06
C100137,Kiran Gupta,Female,49,Vijayawada,Andhra Pradesh,Engineer,2846261,137939,Silver,2024-08-23
C100138,Neha Sharma,Female,48,Bengaluru,Karnataka,Teacher,2787785,143783,Silver,2025-11-28
C100139,Kiran Nair,Female,59,Hyderabad,Telangana,Business,1564244,107686,Silver,2021-07-16
C100140,Sanjay Joshi,Male,21,Ahmedabad,Gujarat,Teacher,1036917,296932,Gold,2024-04-06
C100141,Pooja Reddy,Female,25,Kolkata,West Bengal,Business,477428,837176,Platinum,2020-03-17
C100142,Arjun Sharma,Female,57,Kolkata,West Bengal,Business,2051935,317947,Gold,2021-04-16
C100143,Sai Gupta,Male,60,Ahmedabad,Gujarat,Banker,1817720,291551,Gold,2024-11-23
C100144,Rohan Patel,Female,54,Bengaluru,Karnataka,Engineer,1601385,124500,Silver,2022-06-26
C100145,Rahul Reddy,Male,54,Jaipur,Rajasthan,Doctor,1765386,126019,Silver,2021-08-27
C100146,Pooja Das,Female,33,Chennai,Tamil Nadu,Consultant,616054,303218,Gold,2025-07-16
C100147,Neha Nair,Female,61,Delhi,Delhi,IT,586413,141462,Silver,2024-12-16
C100148,Sneha Nair,Female,53,Bengaluru,Karnataka,Engineer,2195464,84929,Silver,2020-08-21
C100149,Aisha Kapoor,Male,60,Visakhapatnam,Andhra Pradesh,Teacher,2240753,285376,Gold,2025-01-16
C100150,Rohan Joshi,Female,59,Ahmedabad,Gujarat,Engineer,559517,339050,Gold,2021-02-27
C100151,Ishaan Patel,Male,23,Mumbai,Maharashtra,Business,2143068,348690,Gold,2025-11-11
C100152,Aditya Rao,Female,39,Kolkata,West Bengal,Engineer,1719214,86863,Silver,2023-10-02
C100153,Aditya Das,Female,39,Pune,Maharashtra,Doctor,2827910,299709,Gold,2023-09-27
C100154,Neha Iyer,Female,40,Vijayawada,Andhra Pradesh,Banker,1943990,296901,Gold,2020-12-13
C100155,Nisha Rao,Female,29,Vijayawada,Andhra Pradesh,IT,2507853,292249,Gold,2024-09-30
C100156,Rahul Patel,Female,40,Chennai,Tamil Nadu,Doctor,1733329,843736,Platinum,2022-02-25
C100157,Rohan Das,Male,39,Indore,Madhya Pradesh,Doctor,2429404,349013,Gold,2020-06-03
C100158,Vivaan Verma,Female,30,Chennai,Tamil Nadu,Business,2920351,101697,Silver,2024-11-27
C100159,Rahul Nair,Male,49,Visakhapatnam,Andhra Pradesh,Consultant,2182940,110671,Silver,2025-12-27
C100160,Arjun Iyer,Male,44,Vijayawada,Andhra Pradesh,Banker,2147999,840513,Platinum,2023-02-28
C100161,Sneha Iyer,Male,33,Lucknow,Uttar Pradesh,Engineer,1348589,286839,Gold,2025-05-22
C100162,Ananya Verma,Male,39,Bengaluru,Karnataka,Engineer,1444169,338893,Gold,2025-10-03
C100163,Arjun Iyer,Male,49,Chandigarh,Chandigarh,Business,411862,134381,Silver,2020-08-06
C100164,Rohan Patel,Male,45,Bengaluru,Karnataka,Doctor,418227,121770,Silver,2021-02-09
C100165,Ishaan Sharma,Male,39,Chandigarh,Chandigarh,Engineer,882138,341487,Gold,2025-01-11
C100166,Sai Nair,Male,37,Mumbai,Maharashtra,Teacher,2601851,349176,Gold,2024-09-29
C100167,Sai Singh,Female,28,Hyderabad,Telangana,IT,2979957,139914,Silver,2020-09-14
C100168,Aisha Verma,Male,66,Chennai,Tamil Nadu,Doctor,306561,126244,Silver,2022-09-12
C100169,Sanjay Sharma,Male,54,Delhi,Delhi,Banker,2506453,146496,Silver,2025-09-10
C100170,Sneha Reddy,Female,23,Vijayawada,Andhra Pradesh,Business,1865743,113246,Silver,2020-03-07
C100171,Vivaan Rao,Male,67,Vijayawada,Andhra Pradesh,Business,2740679,323583,Gold,2021-06-30
C100172,Aditya Joshi,Male,70,Vijayawada,Andhra Pradesh,Consultant,2307105,103891,Silver,2021-07-06
C100173,Neha Iyer,Male,39,Mumbai,Maharashtra,Banker,1136637,85492,Silver,2023-07-16
C100174,Vivaan Kapoor,Female,37,Hyderabad,Telangana,Business,1101545,317501,Gold,2024-01-02
C100175,Rohan Patel,Female,28,Lucknow,Uttar Pradesh,Consultant,1977812,137637,Silver,2024-05-02
C100176,Aditya Verma,Female,44,Chandigarh,Chandigarh,Doctor,1418707,290828,Gold,2024-10-04
C100177,Ishaan Joshi,Female,41,Bengaluru,Karnataka,Banker,1540003,120173,Silver,2024-12-31
C100178,Kiran Kapoor,Male,65,Ahmedabad,Gujarat,IT,477650,126210,Silver,2024-11-16
C100179,Ananya Das,Male,63,Vijayawada,Andhra Pradesh,Consultant,2452038,100969,Silver,2020-05-07
C100180,Aisha Sharma,Male,29,Bengaluru,Karnataka,Doctor,1836492,127467,Silver,2024-04-17
C100181,Sneha Verma,Female,44,Delhi,Delhi,Business,622480,98047,Silver,2025-12-08
C100182,Arjun Iyer,Female,36,Bengaluru,Karnataka,Engineer,1080342,145410,Silver,2025-10-21
C100183,Priya Reddy,Female,70,Pune,Maharashtra,Doctor,1199973,317431,Gold,2025-07-04
C100184,Sneha Joshi,Male,49,Chennai,Tamil Nadu,Engineer,2166931,791506,Platinum,2023-08-02
C100185,Nisha Gupta,Female,40,Indore,Madhya Pradesh,Engineer,2974707,102818,Silver,2024-01-20
C100186,Pooja Iyer,Male,29,Mumbai,Maharashtra,Doctor,410243,327303,Gold,2024-02-20
C100187,Meera Das,Male,25,Pune,Maharashtra,Engineer,2307666,148903,Silver,2024-08-09
C100188,Ananya Iyer,Male,41,Vijayawada,Andhra Pradesh,Doctor,2253846,147811,Silver,2023-11-12
C100189,Ananya Nair,Male,48,Jaipur,Rajasthan,Doctor,532418,796274,Platinum,2025-10-23
C100190,Aditya Nair,Male,41,Chandigarh,Chandigarh,Teacher,1751325,348012,Gold,2023-03-09
C100191,Diya Das,Female,29,Vijayawada,Andhra Pradesh,Doctor,2537569,92245,Silver,2025-08-20
C100192,Aarav Reddy,Male,63,Visakhapatnam,Andhra Pradesh,IT,2838136,324252,Gold,2020-06-17
C100193,Sanjay Nair,Female,62,Mumbai,Maharashtra,Student,2047291,283969,Gold,2025-08-01
C100194,Aditya Joshi,Female,36,Lucknow,Uttar Pradesh,IT,2003275,318985,Gold,2025-01-31
C100195,Rohan Joshi,Male,49,Kolkata,West Bengal,Business,1155734,124589,Silver,2021-08-11
C100196,Rahul Singh,Female,46,Chennai,Tamil Nadu,Engineer,2459983,293917,Gold,2023-07-31
C100197,Ishaan Verma,Female,49,Mumbai,Maharashtra,Teacher,512253,118038,Silver,2024-04-22
C100198,Vikram Iyer,Male,41,Chandigarh,Chandigarh,Consultant,1611621,304881,Gold,2021-10-14
C100199,Rahul Gupta,Female,40,Ahmedabad,Gujarat,Business,1949377,146249,Silver,2025-02-15
C100200,Aarav Reddy,Male,24,Pune,Maharashtra,Banker,2273784,117453,Silver,2026-01-07
C100201,Arjun Sharma,Male,37,Kochi,Kerala,Teacher,1991370,127964,Silver,2020-07-04
C100202,Ishaan Kapoor,Female,56,Pune,Maharashtra,Engineer,2415000,139028,Silver,2023-02-19
C100203,Priya Das,Male,27,Kolkata,West Bengal,Banker,1722226,127920,Silver,2021-08-13
C100204,Pooja Patel,Male,23,Hyderabad,Telangana,Doctor,1696873,142094,Silver,2025-10-28
C100205,Nisha Iyer,Female,60,Delhi,Delhi,Consultant,2885790,119221,Silver,2023-10-09
C100206,Aisha Nair,Female,51,Indore,Madhya Pradesh,IT,1689319,94366,Silver,2024-09-02
C100207,Aisha Singh,Female,37,Vijayawada,Andhra Pradesh,Doctor,2726297,309824,Gold,2020-07-29
C100208,Aarav Singh,Female,30,Indore,Madhya Pradesh,Business,432416,294404,Gold,2022-02-20
C100209,Vivaan Joshi,Female,30,Kolkata,West Bengal,Doctor,2021247,345774,Gold,2025-04-15
C100210,Rohan Patel,Male,56,Delhi,Delhi,Consultant,2306433,848875,Platinum,2024-03-23
C100211,Priya Gupta,Female,55,Delhi,Delhi,Student,2998233,314650,Gold,2025-06-06
C100212,Vikram Rao,Female,35,Pune,Maharashtra,Student,1169386,344094,Gold,2023-07-22
C100213,Ananya Nair,Female,28,Visakhapatnam,Andhra Pradesh,IT,1892552,331712,Gold,2023-11-14
C100214,Priya Gupta,Female,66,Bengaluru,Karnataka,Student,2155459,113612,Silver,2025-05-16
C100215,Vivaan Kapoor,Female,29,Bengaluru,Karnataka,Teacher,2761345,311363,Gold,2022-09-20
C100216,Aarav Iyer,Male,24,Bengaluru,Karnataka,Doctor,2281405,93178,Silver,2021-07-17
C100217,Neha Rao,Female,62,Chandigarh,Chandigarh,Student,2295228,842580,Platinum,2022-03-27
C100218,Meera Patel,Male,70,Bengaluru,Karnataka,IT,1274002,284888,Gold,2021-12-18
C100219,Neha Das,Female,52,Chennai,Tamil Nadu,Engineer,1514112,784910,Platinum,2020-02-07
C100220,Ananya Iyer,Female,39,Ahmedabad,Gujarat,Consultant,2578767,848723,Platinum,2025-07-16
C100221,Diya Sharma,Female,33,Lucknow,Uttar Pradesh,Business,981550,140150,Silver,2022-11-19
C100222,Nisha Rao,Female,57,Vijayawada,Andhra Pradesh,Engineer,1036079,333148,Gold,2024-10-17
C100223,Rahul Sharma,Female,63,Bengaluru,Karnataka,Student,889768,142580,Silver,2023-08-18
C100224,Kiran Kapoor,Female,36,Ahmedabad,Gujarat,Business,1682548,319576,Gold,2020-02-16
C100225,Nisha Joshi,Male,24,Vijayawada,Andhra Pradesh,Student,1586839,100934,Silver,2024-07-18
C100226,Ananya Singh,Male,61,Chandigarh,Chandigarh,Doctor,1841590,808947,Platinum,2022-06-16
C100227,Rahul Kapoor,Female,68,Visakhapatnam,Andhra Pradesh,Engineer,2603656,141712,Silver,2022-06-13
C100228,Sanjay Iyer,Female,54,Kochi,Kerala,Teacher,2666295,94707,Silver,2020-09-09
C100229,Aisha Singh,Male,31,Delhi,Delhi,Engineer,2153213,795235,Platinum,2022-04-21
C100230,Sanjay Singh,Female,24,Ahmedabad,Gujarat,Student,2042416,139873,Silver,2020-08-24
C100231,Meera Rao,Male,46,Pune,Maharashtra,Engineer,1213944,289572,Gold,2020-07-04
C100232,Ananya Kapoor,Male,25,Chandigarh,Chandigarh,Banker,1504145,133591,Silver,2022-01-07
C100233,Sanjay Patel,Female,45,Ahmedabad,Gujarat,Business,1883334,829236,Platinum,2020-11-24
C100234,Aarav Nair,Male,32,Jaipur,Rajasthan,Consultant,834132,109188,Silver,2020-01-15
C100235,Ananya Nair,Female,55,Kolkata,West Bengal,Teacher,1338140,340375,Gold,2023-11-18
C100236,Priya Reddy,Male,23,Lucknow,Uttar Pradesh,Engineer,2879174,282050,Gold,2022-09-12
C100237,Arjun Singh,Male,49,Visakhapatnam,Andhra Pradesh,Teacher,504163,312077,Gold,2020-06-30
C100238,Rahul Joshi,Male,69,Indore,Madhya Pradesh,Business,887771,346046,Gold,2023-03-30
C100239,Neha Nair,Female,36,Pune,Maharashtra,IT,2486285,808972,Platinum,2024-08-20
C100240,Arjun Iyer,Male,61,Vijayawada,Andhra Pradesh,Business,2378784,86145,Silver,2023-11-11
C100241,Rahul Nair,Female,47,Chennai,Tamil Nadu,Doctor,1071244,142065,Silver,2022-09-14
C100242,Arjun Gupta,Female,24,Jaipur,Rajasthan,Student,2046960,149467,Silver,2021-07-03
C100243,Sanjay Joshi,Male,42,Vijayawada,Andhra Pradesh,Teacher,2186542,128637,Silver,2021-01-13
C100244,Priya Das,Male,38,Kolkata,West Bengal,Teacher,2828838,285183,Gold,2020-10-25
C100245,Priya Joshi,Female,34,Indore,Madhya Pradesh,Engineer,1571662,782009,Platinum,2022-05-17
C100246,Sanjay Rao,Female,36,Kochi,Kerala,Student,1157790,331987,Gold,2022-09-07
C100247,Nisha Singh,Female,50,Jaipur,Rajasthan,Consultant,1593616,314283,Gold,2024-01-13
C100248,Rohan Verma,Male,67,Ahmedabad,Gujarat,IT,1643155,306624,Gold,2024-02-27
C100249,Ananya Gupta,Male,68,Chennai,Tamil Nadu,Business,2620756,134732,Silver,2023-04-24
C100250,Vikram Joshi,Male,45,Visakhapatnam,Andhra Pradesh,Consultant,2394222,324245,Gold,2022-11-20
C100251,Diya Iyer,Female,31,Kochi,Kerala,IT,1009951,298344,Gold,2025-06-23
C100252,Rahul Reddy,Male,25,Indore,Madhya Pradesh,Doctor,326775,334053,Gold,2021-07-17
C100253,Aarav Sharma,Male,34,Jaipur,Rajasthan,Banker,553546,143334,Silver,2025-06-21
C100254,Nisha Joshi,Male,22,Jaipur,Rajasthan,Banker,2547048,317576,Gold,2020-03-11
C100255,Ishaan Iyer,Male,27,Chandigarh,Chandigarh,Student,924521,111584,Silver,2022-02-25
C100256,Aisha Gupta,Female,38,Lucknow,Uttar Pradesh,Teacher,1864691,133218,Silver,2025-02-23
C100257,Arjun Verma,Female,64,Indore,Madhya Pradesh,Consultant,432894,292255,Gold,2024-07-18
C100258,Rohan Das,Male,61,Hyderabad,Telangana,Engineer,646810,345517,Gold,2024-11-12
C100259,Vivaan Reddy,Male,35,Mumbai,Maharashtra,Student,2677265,842324,Platinum,2023-01-15
C100260,Arjun Reddy,Male,32,Chandigarh,Chandigarh,Student,365674,807152,Platinum,2021-08-13
C100261,Ananya Joshi,Male,57,Mumbai,Maharashtra,Engineer,1932241,323480,Gold,2024-04-21
